date,county,state,cases,deaths
2020-07-07,Siskiyou,California,32,0.0
2020-07-07,Solano,California,1831,27.0
2020-07-07,Sonoma,California,1487,14.0
2020-07-07,Stanislaus,California,3983,45.0
2020-07-07,Sutter,California,302,4.0
2020-07-07,Tehama,California,95,1.0
2020-07-07,Trinity,California,3,0.0
2020-07-07,Tulare,California,5175,139.0
2020-07-07,Tuolumne,California,57,0.0
2020-07-07,Ventura,California,3912,50.0
2020-07-07,Yolo,California,723,26.0
2020-07-07,Yuba,California,147,2.0
2020-07-08,Alameda,California,7266,142.0
2020-07-08,Alpine,California,1,0.0
2020-07-08,Amador,California,33,0.0
2020-07-08,Butte,California,295,4.0
2020-07-08,Calaveras,California,61,0.0
2020-07-08,Colusa,California,98,0.0
2020-07-08,Contra Costa,California,4241,86.0
2020-07-08,Del Norte,California,58,0.0
2020-07-08,El Dorado,California,280,0.0
2020-07-08,Fresno,California,7281,84.0
2020-07-08,Glenn,California,145,0.0
2020-07-08,Humboldt,California,157,4.0
2020-07-08,Imperial,California,7464,124.0
2020-07-08,Inyo,California,32,1.0
2020-07-08,Kern,California,5769,87.0
2020-07-08,Kings,California,2823,38.0
2020-07-08,Lake,California,100,1.0
2020-07-08,Lassen,California,267,0.0
2020-07-08,Los Angeles,California,123004,3642.0
2020-07-08,Madera,California,857,8.0
2020-07-08,Marin,California,2891,23.0
2020-07-08,Mariposa,California,31,1.0
2020-07-08,Mendocino,California,107,0.0
2020-07-08,Merced,California,1702,12.0
2020-07-08,Mono,California,49,1.0
2020-07-08,Monterey,California,2270,17.0
2020-07-08,Napa,California,460,4.0
2020-07-08,Nevada,California,155,1.0
2020-07-08,Orange,California,21741,369.0
2020-07-08,Placer,California,970,11.0
2020-07-08,Plumas,California,12,0.0
2020-07-08,Riverside,California,23279,515.0
2020-07-08,Sacramento,California,4775,78.0
2020-07-08,San Benito,California,304,2.0
2020-07-08,San Bernardino,California,16586,293.0
2020-07-08,San Diego,California,17905,406.0
2020-07-08,San Francisco,California,4074,50.0
2020-07-08,San Joaquin,California,5817,61.0
2020-07-08,San Luis Obispo,California,845,3.0
2020-07-08,San Mateo,California,3743,111.0
2020-07-08,Santa Barbara,California,3866,30.0
2020-07-08,Santa Clara,California,5552,166.0
2020-07-08,Santa Cruz,California,503,3.0
2020-07-08,Shasta,California,171,5.0
2020-07-08,Sierra,California,1,0.0
2020-07-08,Siskiyou,California,33,0.0
2020-07-08,Solano,California,1927,27.0
2020-07-08,Sonoma,California,1519,14.0
2020-07-08,Stanislaus,California,4101,50.0
2020-07-08,Sutter,California,323,4.0
2020-07-08,Tehama,California,95,1.0
2020-07-08,Trinity,California,3,0.0
2020-07-08,Tulare,California,5298,148.0
2020-07-08,Tuolumne,California,58,0.0
2020-07-08,Ventura,California,3992,50.0
2020-07-08,Yolo,California,760,28.0
2020-07-08,Yuba,California,154,3.0
2020-07-09,Alameda,California,7428,146.0
2020-07-09,Alpine,California,1,0.0
2020-07-09,Amador,California,34,0.0
2020-07-09,Butte,California,319,4.0
2020-07-09,Calaveras,California,61,0.0
2020-07-09,Colusa,California,103,0.0
2020-07-09,Contra Costa,California,4357,88.0
2020-07-09,Del Norte,California,58,0.0
2020-07-09,El Dorado,California,292,0.0
2020-07-09,Fresno,California,7627,87.0
2020-07-09,Glenn,California,146,0.0
2020-07-09,Humboldt,California,162,4.0
2020-07-09,Imperial,California,7654,126.0
2020-07-09,Inyo,California,35,1.0
2020-07-09,Kern,California,5989,89.0
2020-07-09,Kings,California,2855,39.0
2020-07-09,Lake,California,101,1.0
2020-07-09,Lassen,California,261,0.0
2020-07-09,Los Angeles,California,124738,3689.0
2020-07-09,Madera,California,857,8.0
2020-07-09,Marin,California,2965,23.0
2020-07-09,Mariposa,California,31,1.0
2020-07-09,Mendocino,California,107,0.0
2020-07-09,Merced,California,1793,12.0
2020-07-09,Mono,California,49,1.0
2020-07-09,Monterey,California,2343,17.0
2020-07-09,Napa,California,469,4.0
2020-07-09,Nevada,California,159,1.0
2020-07-09,Orange,California,22088,376.0
2020-07-09,Placer,California,993,11.0
2020-07-09,Plumas,California,12,0.0
2020-07-09,Riverside,California,24042,533.0
2020-07-09,Sacramento,California,4931,78.0
2020-07-09,San Benito,California,311,2.0
2020-07-09,San Bernardino,California,17414,304.0
2020-07-09,San Diego,California,18465,415.0
2020-07-09,San Francisco,California,4148,50.0
2020-07-09,San Joaquin,California,6065,67.0
2020-07-09,San Luis Obispo,California,877,4.0
2020-07-09,San Mateo,California,3787,111.0
2020-07-09,Santa Barbara,California,3985,29.0
2020-07-09,Santa Clara,California,5678,167.0
2020-07-09,Santa Cruz,California,509,3.0
2020-07-09,Shasta,California,176,6.0
2020-07-09,Sierra,California,1,0.0
2020-07-09,Siskiyou,California,33,0.0
2020-07-09,Solano,California,1990,27.0
2020-07-09,Sonoma,California,1561,14.0
2020-07-09,Stanislaus,California,4344,50.0
2020-07-09,Sutter,California,337,4.0
2020-07-09,Tehama,California,100,1.0
2020-07-09,Trinity,California,3,0.0
2020-07-09,Tulare,California,5509,148.0
2020-07-09,Tuolumne,California,59,0.0
2020-07-09,Ventura,California,4139,53.0
2020-07-09,Yolo,California,802,28.0
2020-07-09,Yuba,California,163,3.0
2020-07-10,Alameda,California,7506,147.0
2020-07-10,Alpine,California,1,0.0
2020-07-10,Amador,California,35,0.0
2020-07-10,Butte,California,338,4.0
2020-07-10,Calaveras,California,67,0.0
2020-07-10,Colusa,California,113,0.0
2020-07-10,Contra Costa,California,4460,88.0
2020-07-10,Del Norte,California,60,0.0
2020-07-10,El Dorado,California,307,0.0
2020-07-10,Fresno,California,7906,88.0
2020-07-10,Glenn,California,150,0.0
2020-07-10,Humboldt,California,166,4.0
2020-07-10,Imperial,California,7759,131.0
2020-07-10,Inyo,California,35,1.0
2020-07-10,Kern,California,6205,97.0
2020-07-10,Kings,California,2898,39.0
2020-07-10,Lake,California,108,1.0
2020-07-10,Lassen,California,261,0.0
2020-07-10,Los Angeles,California,127358,3738.0
2020-07-10,Madera,California,893,8.0
2020-07-10,Marin,California,3024,23.0
2020-07-10,Mariposa,California,32,1.0
2020-07-10,Mendocino,California,113,0.0
2020-07-10,Merced,California,1884,12.0
2020-07-10,Mono,California,49,1.0
2020-07-10,Monterey,California,2419,18.0
2020-07-10,Napa,California,478,4.0
2020-07-10,Nevada,California,163,1.0
2020-07-10,Orange,California,22960,402.0
2020-07-10,Placer,California,1021,11.0
2020-07-10,Plumas,California,12,0.0
2020-07-10,Riverside,California,24980,537.0
2020-07-10,Sacramento,California,5151,79.0
2020-07-10,San Benito,California,336,2.0
2020-07-10,San Bernardino,California,17414,304.0
2020-07-10,San Diego,California,18926,420.0
2020-07-10,San Francisco,California,4319,50.0
2020-07-10,San Joaquin,California,6279,68.0
2020-07-10,San Luis Obispo,California,905,4.0
2020-07-10,San Mateo,California,3846,112.0
2020-07-10,Santa Barbara,California,4068,31.0
2020-07-10,Santa Clara,California,5863,167.0
2020-07-10,Santa Cruz,California,537,3.0
2020-07-10,Shasta,California,187,6.0
2020-07-10,Sierra,California,1,0.0
2020-07-10,Siskiyou,California,33,0.0
2020-07-10,Solano,California,2080,28.0
2020-07-10,Sonoma,California,1650,14.0
2020-07-10,Stanislaus,California,4633,51.0
2020-07-10,Sutter,California,372,4.0
2020-07-10,Tehama,California,102,1.0
2020-07-10,Trinity,California,3,0.0
2020-07-10,Tulare,California,5678,152.0
2020-07-10,Tuolumne,California,64,0.0
2020-07-10,Ventura,California,4278,53.0
2020-07-10,Yolo,California,839,28.0
2020-07-10,Yuba,California,180,3.0
2020-07-11,Alameda,California,7746,148.0
2020-07-11,Alpine,California,1,0.0
2020-07-11,Amador,California,38,0.0
2020-07-11,Butte,California,338,4.0
2020-07-11,Calaveras,California,67,0.0
2020-07-11,Colusa,California,113,0.0
2020-07-11,Contra Costa,California,4605,89.0
2020-07-11,Del Norte,California,60,0.0
2020-07-11,El Dorado,California,307,0.0
2020-07-11,Fresno,California,8282,88.0
2020-07-11,Glenn,California,157,0.0
2020-07-11,Humboldt,California,168,4.0
2020-07-11,Imperial,California,7827,134.0
2020-07-11,Inyo,California,35,1.0
2020-07-11,Kern,California,6349,97.0
2020-07-11,Kings,California,2918,39.0
2020-07-11,Lake,California,108,1.0
2020-07-11,Lassen,California,275,0.0
2020-07-11,Los Angeles,California,130242,3793.0
2020-07-11,Madera,California,914,8.0
2020-07-11,Marin,California,3101,23.0
2020-07-11,Mariposa,California,31,1.0
2020-07-11,Mendocino,California,113,0.0
2020-07-11,Merced,California,1884,12.0
2020-07-11,Mono,California,50,1.0
2020-07-11,Monterey,California,2540,18.0
2020-07-11,Napa,California,497,4.0
2020-07-11,Nevada,California,163,1.0
2020-07-11,Orange,California,23692,412.0
2020-07-11,Placer,California,1055,11.0
2020-07-11,Plumas,California,12,0.0
2020-07-11,Riverside,California,25481,537.0
2020-07-11,Sacramento,California,5338,81.0
2020-07-11,San Benito,California,354,2.0
2020-07-11,San Bernardino,California,18912,304.0
2020-07-11,San Diego,California,19434,422.0
2020-07-11,San Francisco,California,4429,50.0
2020-07-11,San Joaquin,California,6279,68.0
2020-07-11,San Luis Obispo,California,905,4.0
2020-07-11,San Mateo,California,3949,112.0
2020-07-11,Santa Barbara,California,4177,31.0
2020-07-11,Santa Clara,California,5983,167.0
2020-07-11,Santa Cruz,California,568,3.0
2020-07-11,Shasta,California,195,6.0
2020-07-11,Sierra,California,1,0.0
2020-07-11,Siskiyou,California,41,0.0
2020-07-11,Solano,California,2080,28.0
2020-07-11,Sonoma,California,1703,16.0
2020-07-11,Stanislaus,California,4781,51.0
2020-07-11,Sutter,California,388,4.0
2020-07-11,Tehama,California,107,1.0
2020-07-11,Trinity,California,3,0.0
2020-07-11,Tulare,California,5678,152.0
2020-07-11,Tuolumne,California,64,0.0
2020-07-11,Ventura,California,4416,53.0
2020-07-11,Yolo,California,884,28.0
2020-07-11,Yuba,California,192,3.0
2020-07-12,Alameda,California,7866,148.0
2020-07-12,Alpine,California,1,0.0
2020-07-12,Amador,California,38,0.0
2020-07-12,Butte,California,338,4.0
2020-07-12,Calaveras,California,67,0.0
2020-07-12,Colusa,California,113,0.0
2020-07-12,Contra Costa,California,4661,90.0
2020-07-12,Del Norte,California,60,0.0
2020-07-12,El Dorado,California,307,0.0
2020-07-12,Fresno,California,8282,88.0
2020-07-12,Glenn,California,161,0.0
2020-07-12,Humboldt,California,174,4.0
2020-07-12,Imperial,California,7827,134.0
2020-07-12,Inyo,California,35,1.0
2020-07-12,Kern,California,6512,97.0
2020-07-12,Kings,California,2970,39.0
2020-07-12,Lake,California,110,1.0
2020-07-12,Lassen,California,337,0.0
2020-07-12,Los Angeles,California,133549,3809.0
2020-07-12,Madera,California,988,8.0
2020-07-12,Marin,California,3191,23.0
2020-07-12,Mariposa,California,32,1.0
2020-07-12,Mendocino,California,132,0.0
2020-07-12,Merced,California,1884,12.0
2020-07-12,Mono,California,51,1.0
2020-07-12,Monterey,California,2682,18.0
2020-07-12,Napa,California,510,4.0
2020-07-12,Nevada,California,163,1.0
2020-07-12,Orange,California,24430,421.0
2020-07-12,Placer,California,1077,11.0
2020-07-12,Plumas,California,12,0.0
2020-07-12,Riverside,California,25994,537.0
2020-07-12,Sacramento,California,5488,83.0
2020-07-12,San Benito,California,362,2.0
2020-07-12,San Bernardino,California,19043,306.0
2020-07-12,San Diego,California,19992,422.0
2020-07-12,San Francisco,California,4525,50.0
2020-07-12,San Joaquin,California,6518,68.0
2020-07-12,San Luis Obispo,California,930,4.0
2020-07-12,San Mateo,California,3956,112.0
2020-07-12,Santa Barbara,California,4283,31.0
