date,county,state,cases,deaths
2021-01-11,Sutter,California,7247,73.0
2021-01-11,Tehama,California,3504,41.0
2021-01-11,Trinity,California,254,4.0
2021-01-11,Tulare,California,38284,464.0
2021-01-11,Tuolumne,California,3236,36.0
2021-01-11,Ventura,California,53095,351.0
2021-01-11,Yolo,California,9610,127.0
2021-01-11,Yuba,California,4595,26.0
2021-01-12,Alameda,California,62067,763.0
2021-01-12,Alpine,California,70,0.0
2021-01-12,Amador,California,2866,28.0
2021-01-12,Butte,California,8795,112.0
2021-01-12,Calaveras,California,1460,22.0
2021-01-12,Colusa,California,1643,9.0
2021-01-12,Contra Costa,California,48449,392.0
2021-01-12,Del Norte,California,826,2.0
2021-01-12,El Dorado,California,6987,33.0
2021-01-12,Fresno,California,76581,838.0
2021-01-12,Glenn,California,2110,18.0
2021-01-12,Humboldt,California,2138,24.0
2021-01-12,Imperial,California,24418,448.0
2021-01-12,Inyo,California,763,27.0
2021-01-12,Kern,California,80674,544.0
